province_code,province_name,district_code,district_name,ward_code,ward_name,ward_type,full_address
89,An Giang,883,Long Xuyên,30307,Mỹ Hòa,Phường,"Phường Mỹ Hòa, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30313,Mỹ Hoà Hưng,Xã,"Xã Mỹ Hoà Hưng, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30310,Mỹ Khánh,Xã,"Xã Mỹ Khánh, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30283,Mỹ Long,Phường,"Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30295,Mỹ Phước,Phường,"Phường Mỹ Phước, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30298,Mỹ Quý,Phường,"Phường Mỹ Quý, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30304,Mỹ Thạnh,Phường,"Phường Mỹ Thạnh, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30301,Mỹ Thới,Phường,"Phường Mỹ Thới, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30286,Mỹ Xuyên,Phường,"Phường Mỹ Xuyên, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30454,Bình Thạnh Đông,Xã,"Xã Bình Thạnh Đông, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30409,Chợ Vàm,Thị trấn,"Thị trấn Chợ Vàm, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30442,Hiệp Xương,Xã,"Xã Hiệp Xương, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30430,Hoà Lạc,Xã,"Xã Hoà Lạc, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30415,Long Hoà,Xã,"Xã Long Hoà, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30436,Phú An,Xã,"Xã Phú An, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30445,Phú Bình,Xã,"Xã Phú Bình, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30424,Phú Hiệp,Xã,"Xã Phú Hiệp, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30451,Phú Hưng,Xã,"Xã Phú Hưng, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30421,Phú Lâm,Xã,"Xã Phú Lâm, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30418,Phú Long,Xã,"Xã Phú Long, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30406,Phú Mỹ,Thị trấn,"Thị trấn Phú Mỹ, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30427,Phú Thạnh,Xã,"Xã Phú Thạnh, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30433,Phú Thành,Xã,"Xã Phú Thành, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30448,Phú Thọ,Xã,"Xã Phú Thọ, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30439,Phú Xuân,Xã,"Xã Phú Xuân, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30457,Tân Hòa,Xã,"Xã Tân Hòa, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,888,Phú Tân,30460,Tân Trung,Xã,"Xã Tân Trung, Huyện Phú Tân, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30397,Châu Phong,Xã,"Xã Châu Phong, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30403,Lê Chánh,Xã,"Xã Lê Chánh, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30391,Long An,Xã,"Xã Long An, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30378,Long Châu,Phường,"Phường Long Châu, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30377,Long Hưng,Phường,"Phường Long Hưng, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30394,Long Phú,Phường,"Phường Long Phú, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30412,Long Sơn,Phường,"Phường Long Sơn, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30376,Long Thạnh,Phường,"Phường Long Thạnh, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30379,Phú Lộc,Xã,"Xã Phú Lộc, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30400,Phú Vĩnh,Xã,"Xã Phú Vĩnh, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30388,Tân An,Xã,"Xã Tân An, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30387,Tân Thạnh,Xã,"Xã Tân Thạnh, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30385,Vĩnh Hòa,Xã,"Xã Vĩnh Hòa, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,887,Tân Châu,30382,Vĩnh Xương,Xã,"Xã Vĩnh Xương, Thị xã Tân Châu, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30692,An Bình,Xã,"Xã An Bình, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30724,Bình Thành,Xã,"Xã Bình Thành, Huyện Thoại Sơn, Tỉnh An Giang"
