province_code,province_name,ward_code,ward_name,ward_type,full_address
24,Bắc Ninh,09454,Gia Bình,Xã,"Xã Gia Bình, Tỉnh Bắc Ninh"
24,Bắc Ninh,09325,Hạp Lĩnh,Phường,"Phường Hạp Lĩnh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07840,Hiệp Hoà,Xã,"Xã Hiệp Hoà, Tỉnh Bắc Ninh"
24,Bắc Ninh,07822,Hoàng Vân,Xã,"Xã Hoàng Vân, Tỉnh Bắc Ninh"
24,Bắc Ninh,07864,Hợp Thịnh,Xã,"Xã Hợp Thịnh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07399,Kép,Xã,"Xã Kép, Tỉnh Bắc Ninh"
24,Bắc Ninh,07552,Kiên Lao,Xã,"Xã Kiên Lao, Tỉnh Bắc Ninh"
24,Bắc Ninh,09187,Kinh Bắc,Phường,"Phường Kinh Bắc, Tỉnh Bắc Ninh"
24,Bắc Ninh,09529,Lâm Thao,Xã,"Xã Lâm Thao, Tỉnh Bắc Ninh"
24,Bắc Ninh,07375,Lạng Giang,Xã,"Xã Lạng Giang, Tỉnh Bắc Ninh"
24,Bắc Ninh,09334,Liên Bão,Xã,"Xã Liên Bão, Tỉnh Bắc Ninh"
24,Bắc Ninh,07444,Lục Nam,Xã,"Xã Lục Nam, Tỉnh Bắc Ninh"
24,Bắc Ninh,07582,Lục Ngạn,Xã,"Xã Lục Ngạn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07492,Lục Sơn,Xã,"Xã Lục Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,09496,Lương Tài,Xã,"Xã Lương Tài, Tỉnh Bắc Ninh"
24,Bắc Ninh,09409,Mão Điền,Phường,"Phường Mão Điền, Tỉnh Bắc Ninh"
24,Bắc Ninh,07420,Mỹ Thái,Xã,"Xã Mỹ Thái, Tỉnh Bắc Ninh"
24,Bắc Ninh,07603,Nam Dương,Xã,"Xã Nam Dương, Tỉnh Bắc Ninh"
24,Bắc Ninh,09286,Nam Sơn,Phường,"Phường Nam Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07795,Nếnh,Phường,"Phường Nếnh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07486,Nghĩa Phương,Xã,"Xã Nghĩa Phương, Tỉnh Bắc Ninh"
24,Bắc Ninh,07351,Ngọc Thiện,Xã,"Xã Ngọc Thiện, Tỉnh Bắc Ninh"
24,Bắc Ninh,07306,Nhã Nam,Xã,"Xã Nhã Nam, Tỉnh Bắc Ninh"
24,Bắc Ninh,09253,Nhân Hòa,Phường,"Phường Nhân Hòa, Tỉnh Bắc Ninh"
24,Bắc Ninh,09475,Nhân Thắng,Xã,"Xã Nhân Thắng, Tỉnh Bắc Ninh"
24,Bắc Ninh,09445,Ninh Xá,Phường,"Phường Ninh Xá, Tỉnh Bắc Ninh"
